symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,231,3,1,1,2,3,1,1,103.50,193.80,67.90,53.70,3380,3,6,209,1,3.62,3.39,8.00,182,5400,16,22,41315
0,161,3,1,1,4,3,1,1,110.00,197.00,70.90,56.30,3505,3,6,209,1,3.62,3.39,8.00,182,5400,15,20,36880
2,121,4,1,1,2,2,2,1,88.40,141.10,60.30,53.20,1488,4,3,61,2,2.91,3.03,9.50,48,5100,47,53,5151
1,98,4,1,1,2,2,2,1,94.50,155.90,63.60,52.00,1874,3,4,90,2,3.03,3.11,9.60,70,5400,38,43,6295
0,81,4,1,1,4,3,2,1,94.50,158.80,63.60,52.00,1909,3,4,90,2,3.03,3.11,9.60,70,5400,38,43,6575
1,118,5,1,1,2,2,2,1,93.70,157.30,63.80,50.80,1876,3,4,90,2,2.97,3.23,9.41,68,5500,37,41,5572
1,118,5,1,1,2,2,2,1,93.70,157.30,63.80,50.80,1876,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,6377
1,118,5,1,2,2,2,2,1,93.70,157.30,63.80,50.80,2128,3,4,98,1,3.03,3.39,7.60,102,5500,24,30,7957
1,148,5,1,1,4,2,2,1,93.70,157.30,63.80,50.60,1967,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,6229
1,148,5,1,1,4,3,2,1,93.70,157.30,63.80,50.60,1989,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,6692
1,148,5,1,1,4,3,2,1,93.70,157.30,63.80,50.60,1989,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,7609
1,148,5,1,2,4,3,2,1,93.70,157.30,63.80,50.60,2191,3,4,98,1,3.03,3.39,7.60,102,5500,24,30,8558
-1,110,5,1,1,4,4,2,1,103.30,174.60,64.60,59.80,2535,3,4,122,2,3.34,3.46,8.50,88,5000,24,30,8921
3,145,5,1,2,2,2,2,1,95.90,173.20,66.30,50.20,2811,3,4,156,3,3.60,3.90,7.00,145,5000,19,24,12964
2,137,6,1,1,2,2,2,1,86.60,144.60,63.90,50.80,1713,3,4,92,4,2.91,3.41,9.60,58,4800,49,54,6479
2,137,6,1,1,2,2,2,1,86.60,144.60,63.90,50.80,1819,3,4,92,4,2.91,3.41,9.20,76,6000,31,38,6855
1,101,6,1,1,2,2,2,1,93.70,150.00,64.00,52.60,1837,3,4,79,4,2.91,3.07,10.10,60,5500,38,42,5399
1,101,6,1,1,2,2,2,1,93.70,150.00,64.00,52.60,1940,3,4,92,4,2.91,3.41,9.20,76,6000,30,34,6529
1,101,6,1,1,2,2,2,1,93.70,150.00,64.00,52.60,1956,3,4,92,4,2.91,3.41,9.20,76,6000,30,34,7129
0,110,6,1,1,4,3,2,1,96.50,163.40,64.00,54.50,2010,3,4,92,4,2.91,3.41,9.20,76,6000,30,34,7295
0,78,6,1,1,4,4,2,1,96.50,157.10,63.90,58.30,2024,3,4,92,4,2.92,3.41,9.20,76,6000,30,34,7295
0,106,6,1,1,2,2,2,1,96.50,167.50,65.20,53.30,2236,3,4,110,4,3.15,3.58,9.00,86,5800,27,33,7895
0,106,6,1,1,2,2,2,1,96.50,167.50,65.20,53.30,2289,3,4,110,4,3.15,3.58,9.00,86,5800,27,33,9095
0,85,6,1,1,4,3,2,1,96.50,175.40,65.20,54.10,2304,3,4,110,4,3.15,3.58,9.00,86,5800,27,33,8845
0,85,6,1,1,4,3,2,1,96.50,175.40,62.50,54.10,2372,3,4,110,4,3.15,3.58,9.00,86,5800,27,33,10295
0,85,6,1,1,4,3,2,1,96.50,175.40,65.20,54.10,2465,3,4,110,1,3.15,3.58,9.00,101,5800,24,28,12945
1,107,6,1,1,2,3,2,1,96.50,169.10,66.00,51.00,2293,3,4,110,2,3.15,3.58,9.10,100,5500,25,31,10345
0,153,7,1,1,4,3,1,1,94.30,170.70,61.80,53.50,2337,3,4,111,2,3.31,3.23,8.50,78,4800,24,29,6785
1,188,7,1,1,2,3,2,1,94.50,155.90,63.60,52.00,1874,3,4,90,2,3.03,3.11,9.60,70,5400,38,43,7799
0,65,7,1,1,4,3,2,1,94.50,155.90,63.60,52.00,1909,3,4,90,2,3.03,3.11,9.60,70,5400,38,43,6295
2,161,7,1,1,2,2,1,1,96.00,172.60,65.20,51.40,2734,3,4,119,5,3.43,3.23,9.20,90,5000,24,29,11048
0,145,8,1,1,4,3,1,1,113.00,199.60,69.60,52.80,4066,1,6,258,1,3.63,4.17,8.10,176,4750,15,19,32250
0,91,8,1,1,4,3,1,1,113.00,199.60,69.60,52.80,4066,1,6,258,1,3.63,4.17,8.10,176,4750,15,19,35550
0,129,8,1,1,2,3,1,1,102.00,191.70,70.60,47.80,3950,2,12,326,1,3.54,2.76,11.50,262,5000,13,17,36000
1,104,9,1,1,2,2,2,1,93.10,159.10,64.20,54.10,1890,3,4,91,2,3.03,3.15,9.00,68,5000,30,31,5195
1,104,9,1,1,2,2,2,1,93.10,159.10,64.20,54.10,1900,3,4,91,2,3.03,3.15,9.00,68,5000,31,38,6095
1,104,9,1,1,2,2,2,1,93.10,159.10,64.20,54.10,1905,3,4,91,2,3.03,3.15,9.00,68,5000,31,38,6795
1,113,9,1,1,4,3,2,1,93.10,166.80,64.20,54.10,1945,3,4,91,2,3.03,3.15,9.00,68,5000,31,38,6695
1,113,9,1,1,4,3,2,1,93.10,166.80,64.20,54.10,1950,3,4,91,2,3.08,3.15,9.00,68,5000,31,38,7395
3,150,9,1,1,2,2,1,1,95.30,169.00,65.70,49.60,2380,5,2,70,6,3.94,3.58,9.40,101,6000,17,23,10945
3,150,9,1,1,2,2,1,1,95.30,169.00,65.70,49.60,2380,5,2,70,6,3.46,3.19,9.40,101,6000,17,23,11845
3,150,9,1,1,2,2,1,1,95.30,169.00,65.70,49.60,2385,5,2,70,6,3.46,3.23,9.40,101,6000,17,23,13645
3,150,9,1,1,2,2,1,1,95.30,169.00,65.70,49.60,2500,5,2,80,1,3.46,2.64,9.40,135,6000,16,23,15645
1,129,9,1,1,2,2,2,1,98.80,177.80,66.50,53.70,2385,3,4,122,2,3.39,3.39,8.60,84,4800,26,32,8845
0,115,9,1,1,4,3,2,1,98.80,177.80,66.50,55.50,2410,3,4,122,2,3.39,3.39,8.60,84,4800,26,32,8495
1,129,9,1,1,2,2,2,1,98.80,177.80,66.50,53.70,2385,3,4,122,2,3.39,3.39,8.60,84,4800,26,32,10595
0,115,9,1,1,4,3,2,1,98.80,177.80,66.50,55.50,2410,3,4,122,2,3.39,3.39,8.60,84,4800,26,32,10245
0,161,9,2,1,4,3,2,1,98.80,177.80,66.50,55.50,2443,3,4,122,7,3.39,3.39,22.70,64,4650,36,42,10795
0,115,9,1,1,4,2,2,1,98.80,177.80,66.50,55.50,2425,3,4,122,2,3.39,3.39,8.60,84,4800,26,32,11245
0,118,9,1,1,4,3,1,1,104.90,175.00,66.10,54.40,2670,3,4,140,1,3.76,3.16,8.00,120,5000,19,27,18280
0,102,9,2,1,4,3,1,1,104.90,175.00,66.10,54.40,2700,3,4,134,7,3.43,3.64,22.00,72,4200,31,39,18344
-1,93,10,2,2,4,3,1,1,110.00,190.90,70.30,56.50,3515,3,5,183,7,3.58,3.64,21.50,123,4350,22,25,25552
-1,93,10,2,2,4,4,1,1,110.00,190.90,70.30,58.70,3750,3,5,183,7,3.58,3.64,21.50,123,4350,22,25,28248
0,93,10,2,2,2,5,1,1,106.70,187.50,70.30,54.90,3495,3,5,183,7,3.58,3.64,21.50,123,4350,22,25,28176
-1,93,10,2,2,4,3,1,1,115.60,202.60,71.70,56.30,3770,3,5,183,7,3.58,3.64,21.50,123,4350,22,25,31600
-1,78,10,1,1,4,3,1,1,115.60,202.60,71.70,56.50,3740,2,8,234,1,3.46,3.10,8.30,155,4750,16,18,34184
3,142,10,1,1,2,1,1,1,96.60,180.30,70.50,50.80,3685,2,8,234,1,3.46,3.10,8.30,155,4750,16,18,35056
0,91,10,1,1,4,3,1,1,120.90,208.10,71.70,56.70,3900,2,8,308,1,3.80,3.35,8.00,184,4500,14,16,40960
1,161,10,1,1,2,5,1,1,112.00,199.20,72.00,55.40,3715,2,8,304,1,3.80,3.35,8.00,184,4500,14,16,45400
1,164,11,1,2,2,2,1,1,102.70,178.40,68.00,54.80,2910,3,4,140,1,3.78,3.12,8.00,175,5000,19,24,16503
2,161,12,1,1,2,2,2,1,93.70,157.30,64.40,50.80,1918,3,4,92,2,2.97,3.23,9.40,68,5500,37,41,5389
2,161,12,1,1,2,2,2,1,93.70,157.30,64.40,50.80,1944,3,4,92,2,2.97,3.23,9.40,68,5500,31,38,6189
2,161,12,1,1,2,2,2,1,93.70,157.30,64.40,50.80,2004,3,4,92,2,2.97,3.23,9.40,68,5500,31,38,6669
1,161,12,1,2,2,2,2,1,93,157.30,63.80,50.80,2145,3,4,98,8,3.03,3.39,7.60,102,5500,24,30,7689
3,153,12,1,2,2,2,2,1,96.30,173.00,65.40,49.40,2370,3,4,110,8,3.17,3.46,7.50,116,5500,23,30,9959
3,153,12,1,1,2,2,2,1,96.30,173.00,65.40,49.40,2328,3,4,122,2,3.35,3.46,8.50,88,5000,25,32,8499
3,78,12,1,2,2,2,2,1,95.90,173.20,66.30,50.20,2833,3,4,156,8,3.58,3.86,7.00,145,5000,19,24,12629
3,125,12,1,2,2,2,2,1,95.90,173.20,66.30,50.20,2921,3,4,156,8,3.59,3.86,7.00,145,5000,19,24,14869
3,134,12,1,2,2,2,2,1,95.90,173.20,66.30,50.20,2926,3,4,156,8,3.59,3.86,7.00,145,5000,19,24,14489
1,125,12,1,1,4,3,2,1,96.30,172.40,65.40,51.60,2365,3,4,122,2,3.35,3.46,8.50,88,5000,25,32,6989
1,125,12,1,1,4,3,2,1,96.30,172.40,65.40,51.60,2405,3,4,122,2,3.35,3.46,8.50,88,5000,25,32,8189
1,125,12,1,2,4,3,2,1,96.30,172.40,65.40,51.60,2403,3,4,110,8,3.17,3.46,7.50,116,5500,23,30,9279
-1,137,12,1,1,4,3,2,1,96.30,172.40,65.40,51.60,2403,3,4,110,8,3.17,3.46,7.50,116,5500,23,30,9279
1,128,13,1,1,2,3,2,1,94.50,165.30,63.80,54.50,1889,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,5499
1,128,13,2,1,2,3,2,1,94.50,165.30,63.80,54.50,2017,3,4,103,7,2.99,3.47,21.90,55,4800,45,50,7099
1,128,13,1,1,2,3,2,1,94.50,165.30,63.80,54.50,1918,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,6649
1,122,13,1,1,4,3,2,1,94.50,165.30,63.80,54.50,1938,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,6849
1,103,13,1,1,4,4,2,1,94.50,170.20,63.80,53.50,2024,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,7349
1,128,13,1,1,2,3,2,1,94.50,165.30,63.80,54.50,1951,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,7299
1,128,13,1,1,2,2,2,1,94.50,165.60,63.80,53.30,2028,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,7799
1,122,13,1,1,4,3,2,1,94.50,165.30,63.80,54.50,1971,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,7499
1,103,13,1,1,4,4,2,1,94.50,170.20,63.80,53.50,2037,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,7999
2,168,13,1,1,2,5,2,1,95.10,162.40,63.80,53.30,2008,3,4,97,2,3.15,3.29,9.40,69,5200,31,37,8249
0,106,13,1,1,4,2,2,1,97.20,173.40,65.20,54.70,2324,3,4,120,2,3.33,3.47,8.50,97,5200,27,34,8949
0,106,13,1,1,4,3,2,1,97.20,173.40,65.20,54.70,2302,3,4,120,2,3.33,3.47,8.50,97,5200,27,34,9549
0,128,13,1,1,4,3,2,1,100.40,181.70,66.50,55.10,3095,2,6,181,1,3.43,3.27,9.00,152,5200,17,22,13499
0,108,13,1,1,4,4,2,1,100.40,184.60,66.50,56.10,3296,2,6,181,1,3.43,3.27,9.00,152,5200,17,22,14399
0,108,13,1,1,4,3,2,1,100.40,184.60,66.50,55.10,3060,2,6,181,1,3.43,3.27,9.00,152,5200,19,25,13499
3,194,13,1,1,2,2,1,1,91.30,170.70,67.90,49.70,3071,2,6,181,1,3.43,3.27,9.00,160,5200,19,25,17199
3,194,13,1,2,2,2,1,1,91.30,170.70,67.90,49.70,3139,2,6,181,1,3.43,3.27,7.80,200,5200,17,23,19699
1,231,13,1,1,2,2,1,1,99.20,178.50,67.90,49.70,3139,2,6,181,1,3.43,3.27,9.00,160,5200,19,25,18399
0,161,14,1,1,4,3,1,1,107.90,186.70,68.40,56.70,3020,4,4,120,1,3.46,3.19,8.40,97,5000,19,24,11900
0,161,14,2,2,4,3,1,1,107.90,186.70,68.40,56.70,3197,4,4,152,7,3.70,3.52,21.00,95,4150,28,33,13200
0,188,14,1,1,4,4,1,1,114.20,198.90,68.40,58.70,3230,4,4,120,1,3.46,3.19,8.40,97,5000,19,24,12440
0,104,14,2,2,4,4,1,1,114.20,198.90,68.40,58.70,3430,4,4,152,7,3.70,3.52,21.00,95,4150,25,25,13860
0,161,14,1,1,4,3,1,1,107.90,186.70,68.40,56.70,3075,4,4,120,1,3.46,2.19,8.40,95,5000,19,24,15580
0,161,14,2,2,4,3,1,1,107.90,186.70,68.40,56.70,3252,4,4,152,7,3.70,3.52,21.00,95,4150,28,33,16900
0,94,14,1,1,4,4,1,1,114.20,198.90,68.40,56.70,3285,4,4,120,1,3.46,2.19,8.40,95,5000,19,24,16695
0,168,14,2,2,4,4,1,1,114.20,198.90,68.40,58.70,3485,4,4,152,7,3.70,3.52,21.00,95,4150,25,25,17075
0,161,14,1,1,4,3,1,1,107.90,186.70,68.40,56.70,3075,4,4,120,1,3.46,3.19,8.40,97,5000,19,24,16630
0,161,14,2,2,4,3,1,1,107.90,186.70,68.40,56.70,3252,4,4,152,7,3.70,3.52,21.00,95,4150,28,33,17950
0,161,14,1,2,4,3,1,1,108.00,186.70,68.30,56.00,3130,4,4,134,1,3.61,3.21,7.00,142,5600,18,24,18150
1,119,15,1,1,2,2,2,1,93.70,157.30,63.80,50.80,1918,3,4,90,2,2.97,3.23,9.40,68,5500,37,41,5572
1,119,15,1,2,2,2,2,1,93.70,157.30,63.80,50.80,2128,3,4,98,8,3.03,3.39,7.60,102,5500,24,30,7957
1,154,15,1,1,4,2,2,1,93.70,157.30,63.80,50.60,1967,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,6229
1,154,15,1,1,4,3,2,1,93.70,167.30,63.80,50.80,1989,3,4,90,2,2.97,3.23,9.40,68,5500,31,38,6692
1,154,15,1,1,4,3,2,1,93.70,167.30,63.80,50.80,2191,3,4,98,2,2.97,3.23,9.40,68,5500,31,38,7609
-1,74,15,1,1,4,4,2,1,103.30,174.60,64.60,59.80,2535,3,4,122,2,3.35,3.46,8.50,88,5000,24,30,8921
3,161,15,1,2,2,2,1,1,95.90,173.20,66.30,50.20,2818,3,4,156,8,3.59,3.86,7.00,145,5000,19,24,12764
3,186,16,1,1,2,2,1,1,94.50,168.90,68.30,50.20,2778,3,4,151,1,3.94,3.11,9.50,143,5500,19,27,22018
3,93,16,1,1,2,5,1,2,89.50,168.90,65.00,51.60,2756,6,6,194,1,3.74,2.90,9.50,207,5900,17,25,32528
3,93,16,1,1,2,5,1,2,89.50,168.90,65.00,51.60,2756,6,6,194,1,3.74,2.90,9.50,207,5900,17,25,34028
3,115,16,1,1,2,1,1,2,89.50,168.90,65.00,51.60,2800,6,6,194,1,3.74,2.90,9.50,207,5900,17,25,37028
1,85,16,1,1,2,2,1,1,98.40,175.70,72.30,50.50,3366,7,8,203,1,3.94,3.11,10.00,288,5750,17,28,6479
0,103,17,1,1,4,4,2,1,96.10,181.50,66.50,55.20,2579,3,4,132,1,3.46,3.90,8.70,76,5200,23,31,9295
2,188,17,1,1,2,2,2,1,96.10,176.80,66.60,50.50,2460,3,4,132,1,3.46,3.90,8.70,68,5900,23,31,9895
3,150,18,1,1,2,2,2,1,99.10,186.60,66.50,56.10,2658,3,4,121,1,3.54,3.07,9.31,110,5250,21,28,11850
2,104,18,1,1,4,3,2,1,99.10,186.60,66.50,56.10,2695,3,4,121,1,3.54,3.07,9.30,110,5250,21,28,12170
3,150,18,1,1,2,2,2,1,99.10,186.60,66.50,56.10,2707,3,4,121,1,2.54,2.07,9.30,110,5250,21,28,15040
2,104,18,1,1,4,3,2,1,99.10,186.60,66.50,56.10,2758,3,4,121,1,3.54,3.07,9.30,110,5250,21,28,15510
3,150,18,1,2,2,2,2,1,99.10,186.60,66.50,56.10,2808,1,4,121,1,3.54,3.07,9.00,160,5500,19,26,18150
2,104,18,1,2,4,3,2,1,99.10,186.60,66.50,56.10,2847,1,4,121,1,3.54,3.07,9.00,160,5500,19,26,18620
2,83,19,1,1,2,2,2,1,93.70,156.90,63.40,53.70,2050,6,4,97,2,3.62,2.36,9.00,69,4900,31,36,5118
2,83,19,1,1,2,2,2,1,93.70,157.90,63.60,53.70,2120,6,4,108,2,3.62,2.64,8.70,73,4400,26,31,7053
2,83,19,1,1,2,2,3,1,93.30,157.30,63.80,55.70,2240,6,4,108,2,3.62,2.64,8.70,73,4400,26,31,7603
0,102,19,1,1,4,3,2,1,97.20,172.00,65.40,52.50,2145,6,4,108,2,3.62,2.64,9.50,82,4800,32,37,7126
0,102,19,1,1,4,3,2,1,97.20,172.00,65.40,52.50,2190,6,4,108,2,3.62,2.64,9.50,82,4400,28,33,7775
0,102,19,1,1,4,3,2,1,97.20,172.00,65.40,52.50,2340,6,4,108,1,3.62,2.64,9.00,94,5200,26,32,9960
0,102,19,1,1,4,3,3,1,97.00,172.00,65.40,54.30,2385,6,4,108,2,3.62,2.64,9.00,82,4800,24,25,9233
0,102,19,1,2,4,3,3,1,97.00,172.00,65.40,54.30,2510,6,4,108,1,3.62,2.64,7.70,111,4800,24,29,11259
0,89,19,1,1,4,4,2,1,97.00,173.50,65.40,53.00,2290,6,4,108,2,3.62,2.64,9.00,82,4800,28,32,7463
0,89,19,1,1,4,4,2,1,97.00,173.50,65.40,53.00,2455,6,4,108,1,3.62,2.64,9.00,94,5200,25,31,10198
0,85,19,1,1,4,4,3,1,96.90,173.60,65.40,54.90,2420,6,4,108,2,3.62,2.64,9.00,82,4800,23,29,8013
0,85,19,1,2,4,4,3,1,96.90,173.60,65.40,54.90,2650,6,4,108,1,3.62,2.64,7.70,111,4800,23,23,11694
1,87,20,1,1,2,2,2,1,95.70,158.70,63.60,54.50,1985,3,4,92,2,3.05,3.03,9.00,62,4800,35,39,5348
1,87,20,1,1,2,2,2,1,95.70,158.70,63.60,54.50,2040,3,4,92,2,3.05,3.03,9.00,62,4800,31,38,6338
1,74,20,1,1,4,2,2,1,95.70,158.70,63.60,54.50,2015,3,4,92,2,3.05,3.03,9.00,62,4800,31,38,6488
0,77,20,1,1,4,4,2,1,95.70,169.70,63.60,59.10,2280,3,4,92,2,3.05,3.03,9.00,62,4800,31,37,6918
0,81,20,1,1,4,4,3,1,95.70,169.70,63.60,59.10,2290,3,4,92,2,3.05,3.03,9.00,62,4800,27,32,7898
0,91,20,1,1,4,4,3,1,95.70,169.70,63.60,59.10,3110,3,4,92,2,3.05,3.03,9.00,62,4800,27,32,8778
0,91,20,1,1,4,3,2,1,95.70,166.30,64.40,53.00,2081,3,4,98,2,3.19,3.03,9.00,70,4800,30,37,6938
0,91,20,1,1,4,2,2,1,95.70,166.30,64.40,52.80,2109,3,4,98,2,3.19,3.03,9.00,70,4800,30,37,7198
0,91,20,2,1,4,3,2,1,95.70,166.30,64.40,53.00,2275,3,4,110,7,3.27,3.35,22.50,56,4500,34,36,7898
0,91,20,2,1,4,2,2,1,95.70,166.30,64.40,52.80,2275,3,4,110,7,3.27,3.35,22.50,56,4500,38,47,7788
0,91,20,1,1,4,3,2,1,95.70,166.30,64.40,53.00,2094,3,4,98,2,3.19,3.03,9.00,70,4800,38,47,7738
0,91,20,1,1,4,2,2,1,95.70,166.30,64.40,52.80,2122,3,4,98,2,3.19,3.03,9.00,70,4800,28,34,8358
0,91,20,1,1,4,3,2,1,95.70,166.30,64.40,52.80,2140,3,4,98,2,3.19,3.03,9.00,70,4800,28,34,9258
1,168,20,1,1,2,3,1,1,94.50,168.70,64.00,52.60,2169,3,4,98,2,3.19,3.03,9.00,70,4800,29,34,8058
1,168,20,1,1,2,2,1,1,94.50,168.70,64.00,52.60,2204,3,4,98,2,3.19,3.03,9.00,70,4800,29,34,8238
1,168,20,1,1,2,3,1,1,94.50,168.70,64.00,52.60,2265,1,4,98,1,3.24,3.08,9.40,112,6600,26,29,9298
1,168,20,1,1,2,2,1,1,94.50,168.70,64.00,52.60,2300,1,4,98,1,3.24,3.08,9.40,112,6600,26,29,9538
2,134,20,1,1,2,5,1,1,98.40,176.20,65.60,52.00,2540,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,8449
2,134,20,1,1,2,5,1,1,98.40,176.20,65.60,52.00,2536,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,9639
2,134,20,1,1,2,2,1,1,98.40,176.20,65.60,52.00,2551,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,9989
2,134,20,1,1,2,5,1,1,98.40,176.20,65.60,52.00,2679,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,11199
2,134,20,1,1,2,2,1,1,98.40,176.20,65.60,52.00,2714,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,11549
2,134,20,1,1,2,1,1,1,98.40,176.20,65.60,53.00,2975,3,4,146,1,3.62,3.50,9.30,116,4800,24,30,17669
-1,65,20,1,1,4,3,2,1,102.40,175.60,66.50,54.90,2326,3,4,122,1,3.31,3.54,8.70,92,4200,29,34,8948
-1,65,20,2,2,4,3,2,1,102.40,175.60,66.50,54.90,2480,3,4,110,7,3.27,3.35,22.50,73,4500,30,33,10698
-1,65,20,1,1,4,2,2,1,102.40,175.60,66.50,53.90,2414,3,4,122,1,3.31,3.54,8.70,92,4200,27,32,9988
-1,65,20,1,1,4,3,2,1,102.40,175.60,66.50,54.90,2414,3,4,122,1,3.31,3.54,8.70,92,4200,27,32,10898
-1,65,20,1,1,4,2,2,1,102.40,175.60,66.50,53.90,2458,3,4,122,1,3.31,3.54,8.70,92,4200,27,32,11248
3,197,20,1,1,2,2,1,1,102.90,183.50,67.70,52.00,2976,1,6,171,1,3.27,3.35,9.30,161,5200,20,24,16558
3,197,20,1,1,2,2,1,1,102.90,183.50,67.70,52.00,3016,1,6,171,1,3.27,3.35,9.30,161,5200,19,24,15998
-1,90,20,1,1,4,3,1,1,104.50,187.80,66.50,54.10,3131,1,6,171,1,3.27,3.35,9.20,156,5200,20,24,15690
-1,115,20,1,1,4,4,1,1,104.50,187.80,66.50,54.10,3151,1,6,161,1,3.27,3.35,9.20,156,5200,19,24,15750
2,122,21,2,1,2,3,2,1,97.30,171.70,65.50,55.70,2261,3,4,97,7,3.01,3.40,23.00,52,4800,37,46,7775
2,122,21,1,1,2,3,2,1,97.30,171.70,65.50,55.70,2209,3,4,109,1,3.19,3.40,9.00,85,5250,27,34,7975
2,94,21,2,1,4,3,2,1,97.30,171.70,65.50,55.70,2264,3,4,97,7,3.01,3.40,23.00,52,4800,37,46,7995
2,94,21,1,1,4,3,2,1,97.30,171.70,65.50,55.70,2212,3,4,109,1,3.19,3.40,9.00,85,5250,27,34,8195
2,94,21,1,1,4,3,2,1,97.30,171.70,65.50,55.70,2275,3,4,109,1,3.19,3.40,9.00,85,5250,27,34,8495
2,94,21,2,2,4,3,2,1,97.30,171.70,65.50,55.70,2319,3,4,97,7,3.01,3.40,23.00,68,4500,37,42,9495
2,94,21,1,1,4,3,2,1,97.30,171.70,65.50,55.70,2300,3,4,109,1,3.19,3.40,10.00,100,5500,26,32,9995
3,168,21,1,1,2,1,2,1,94.50,159.30,64.20,55.60,2254,3,4,109,1,3.19,3.40,8.50,90,5500,24,29,11595
3,256,21,1,1,2,2,2,1,94.50,165.70,64.00,51.40,2221,3,4,109,1,3.19,3.40,8.50,90,5500,24,29,9980
0,161,21,1,1,4,3,2,1,100.40,180.20,66.90,55.10,2661,3,5,136,1,3.19,3.40,8.50,110,5500,19,24,13295
0,168,21,2,2,4,3,2,1,100.40,180.20,66.90,55.10,2579,3,4,97,7,3.01,3.40,23.00,68,4500,33,38,13845
0,115,21,1,1,4,4,2,1,100.40,183.10,66.90,55.10,2563,3,4,109,1,3.19,3.40,9.00,88,5500,25,31,12290
-2,103,22,1,1,4,3,1,1,104.30,188.80,67.20,56.20,2912,3,4,141,1,3.78,3.15,9.50,114,5400,23,28,12940
-1,74,22,1,1,4,4,1,1,104.30,188.80,67.20,57.50,3034,3,4,141,1,3.78,3.15,9.50,114,5400,23,28,13415
-2,103,22,1,1,4,3,1,1,104.30,188.80,67.20,56.20,2935,3,4,141,1,3.78,3.15,9.50,114,5400,24,28,15985
-1,74,22,1,1,4,4,1,1,104.30,188.80,67.20,57.50,3042,3,4,141,1,3.78,3.15,9.50,114,5400,24,28,16515
